Time;Open;High;Low;Last;Change;Volume;Open Int
4/4/19;19,521;19,521;19,521;19,521;0,576;2611;17836
4/3/19;18,945;18,945;18,945;18,945;0,388;960;17931
4/2/19;18,557;18,557;18,557;18,557;-0,121;1180;17641
4/1/19;18,678;18,678;18,678;18,678;-0,073;1126;17221
3/29/19;18,751;18,751;18,751;18,751;-0,024;540;17245
3/28/19;18,775;18,775;18,775;18,775;-0,17;721;17454
3/27/19;18,945;18,945;18,945;18,945;0,507;2620;17614
3/26/19;18,438;18,438;18,438;18,438;0,226;1900;17868
3/25/19;18,212;18,212;18,212;18,212;-0,182;806;17533
3/22/19;18,394;18,394;18,394;18,394;0,146;415;17458
3/21/19;18,248;18,248;18,248;18,248;-0,162;761;17582
3/20/19;18,41;18,41;18,41;18,41;0,292;836;17331
3/19/19;18,118;18,118;18,118;18,118;-0,014;395;17186
3/18/19;18,132;18,132;18,132;18,132;-0,289;781;16940
3/15/19;18,421;18,421;18,421;18,421;-0,353;1451;16745
3/14/19;18,774;18,774;18,774;18,774;-0,245;691;16748
3/13/19;19,019;19,019;19,019;19,019;-0,213;1461;16337
3/12/19;19,232;19,232;19,232;19,232;-0,211;1050;16152
3/11/19;19,443;19,443;19,443;19,443;-0,095;2396;16076
3/8/19;19,538;19,538;19,538;19,538;-0,129;1363;15816
3/7/19;19,667;19,667;19,667;19,667;0,146;451;15736
3/6/19;19,521;19,521;19,521;19,521;-0,265;528;15472
3/5/19;19,786;19,786;19,786;19,786;-0,194;475;15397
3/4/19;19,98;19,98;19,98;19,98;0,08;325;15337
3/1/19;19,9;19,9;19,9;19,9;-0,168;625;15372
2/28/19;20,068;20,068;20,068;20,068;0,064;353;15220
2/27/19;20,004;20,004;20,004;20,004;0,364;270;15180
2/26/19;19,64;19,64;19,64;19,64;0,052;355;15270
2/25/19;19,588;19,588;19,588;19,588;-0,152;580;15315
2/22/19;19,74;19,74;19,74;19,74;-0,094;608;15299
2/21/19;19,834;19,834;19,834;19,834;-0,208;214;15279
2/20/19;20,042;20,042;20,042;20,042;0,227;815;14994
2/19/19;19,815;19,815;19,815;19,815;0,313;295;14949
2/18/19;19,502;19,502;19,502;19,502;-0,262;650;14674
2/15/19;19,764;19,764;19,764;19,764;0,313;575;14759
2/14/19;19,451;19,451;19,451;19,451;-0,121;466;14755
2/13/19;19,572;19,572;19,572;19,572;0,265;860;14600
2/12/19;19,307;19,307;19,307;19,307;-0,117;576;14520
2/11/19;19,424;19,424;19,424;19,424;-0,016;460;14535
2/8/19;19,44;19,44;19,44;19,44;-0,345;346;14510
2/7/19;19,785;19,785;19,785;19,785;-0,038;1286;14411
2/6/19;19,823;19,823;19,823;19,823;-0,016;555;14364
2/5/19;19,839;19,839;19,839;19,839;-0,086;629;14344
2/4/19;19,925;19,925;19,925;19,925;-0,223;310;14224
2/1/19;20,148;20,148;20,148;20,148;-0,088;905;14249
1/31/19;20,236;20,236;20,236;20,236;-0,074;705;14004
1/30/19;20,31;20,31;20,31;20,31;-0,091;1380;13504
1/29/19;20,401;20,401;20,401;20,401;0,159;490;13451
1/28/19;20,242;20,242;20,242;20,242;-0,117;285;13301
1/25/19;20,359;20,359;20,359;20,359;0,008;320;13289
1/24/19;20,351;20,351;20,351;20,351;-0,396;155;13269
1/23/19;20,747;20,747;20,747;20,747;0,239;280;13149
1/22/19;20,508;20,508;20,508;20,508;-0,064;209;13118
